Sector:,Liquid Propane Gas (LPG),,,,,,,,,,
"November 7, 2004",402,0,0,0,0,0,0,8,"530,000 ",,
"November 14, 2004",402,0,0,0,0,0,0,8,"530,000 ",,
"November 21, 2004",402,0,0,0,0,0,0,8,"530,000 ",,
"November 28, 2004",402,0,0,0,0,0,0,8,"530,000 ",,
"December 5, 2004",402,0,0,0,0,0,0,8,"530,000 ",,
"December 12, 2004",402,0,0,0,0,0,0,8,"530,000 ",,
"December 19, 2004",402,0,0,0,0,0,0,8,"530,000 ",,
"December 26, 2004",402,0,0,0,0,0,0,8,"530,000 ",,
"January 2, 2005",402,0,0,0,0,0,0,8,"530,000 ",,
"January 9, 2005",402,0,0,0,0,0,0,8,"530,000 ",,
"January 16, 2005",402,0,0,0,0,0,0,8,"530,000 ",,
"January 23, 2005",402,0,0,0,0,0,0,8,"530,000 ",,
"January 30, 2005",402,0,0,0,0,0,0,8,"530,000 ",,
"February 6, 2005",402,0,0,0,0,0,0,8,"530,000 ",,
"February 13, 2005",402,0,0,0,0,0,0,8,"530,000 ",,
"February 20, 2005",402,0,0,0,0,0,0,8,"530,000 ",,
"February 27, 2005",402,0,0,0,0,0,0,8,"530,000 ",,
"March 6, 2005",402,0,0,0,0,0,0,8,"530,000 ",,
"March 13, 2005",402,0,0,0,0,0,0,8,"530,000 ",,
"March 20, 2005",402,0,0,0,0,2,0,10,"530,000 ",,
"March 27, 2005",402,0,0,0,0,0,0,10,"530,000 ",,
"April 3, 2005",402,0,0,0,0,0,0,10,"530,000 ",,
"April 10, 2005",402,0,0,0,0,0,0,10,"530,000 ",,
"April 17, 2005",402,0,0,0,0,5,0,15,"530,000 ",,
"April 24, 2005",402,0,0,0,0,0,0,15,"530,000 ",,
"May 1, 2005",402,0,0,0,0,0,0,15,"530,000 ",,
"May 8, 2005",402,0,0,0,0,0,0,15,"530,000 ",,
"May 15, 2005",402,0,0,0,0,0,0,15,"530,000 ",,
"May 22, 2005",402,0,0,0,0,4,"328,800",19,"858,800 ",,
"May 29, 2005",402,0,0,0,0,0,0,19,"858,800 ",,
"June 5, 2005",402,0,0,0,0,0,0,19,"858,800 ",,
"June 12, 2005",402,0,0,0,0,0,0,19,"858,800 ",,
"June 19, 2005",402,0,0,0,0,0,0,19,"858,800 ",,
"June 26, 2005",402,0,0,0,0,0,0,19,"858,800 ",,
"July 3, 2005",402,0,0,0,0,0,0,19,"858,800 ",,
"July 10, 2005",402,0,0,0,0,0,0,19,"858,800 ",,
"July 17, 2005",402,0,0,0,0,3,"252,000",22,"1,110,800 ",,
"July 24, 2005",402,0,0,0,0,0,0,22,"1,110,800 ",,
"July 31, 2005",402,0,0,0,0,0,0,22,"1,110,800 ",,
"August 7, 2005",402,0,0,0,0,0,0,22,"1,110,800 ",,
"August 14, 2005",402,0,0,0,0,2,"168,000",24,"1,278,800 ",,
"August 21, 2005",402,0,0,0,0,0,0,24,"1,278,800 ",,
"August 28, 2005",402,0,0,0,0,0,0,24,"1,278,800 ",,
"September 4, 2005",402,0,0,0,0,0,0,24,"1,278,800 ",,
"September 11, 2005",402,0,0,0,0,0,0,24,"1,278,800 ",,
"September 18, 2005",402,0,0,0,0,0,0,24,"1,278,800 ",,
"September 25, 2005",402,0,0,0,0,0,0,24,"1,278,800 ",,
"October 2, 2005",402,0,0,0,0,2,0,26,"1,278,800 ",,
"October 9, 2005",402,0,0,0,0,0,0,26,"1,278,800 ",,
"October 16, 2005",402,0,0,0,0,0,0,26,"1,278,800 ",,
"October 23, 2005",402,0,0,0,0,0,0,26,"1,278,800 ",,
"October 30, 2005",402,0,0,0,0,0,0,26,"1,278,800 ",,
"November 6, 2005",402,0,0,0,0,0,0,26,"1,278,800 ",,
"November 13, 2005",402,0,0,0,0,0,0,26,"1,278,800 ",,
"November 20, 2005",402,0,0,0,0,0,0,26,"1,278,800 ",,
"November 27, 2005",402,0,0,0,0,0,0,26,"1,278,800 ",,
"December 4, 2005",402,0,0,0,0,0,0,26,"1,278,800 ",,
"December 11, 2005",402,0,0,0,0,0,0,26,"1,278,800 ",,
"December 18, 2005",402,0,0,0,0,0,0,26,"1,278,800 ",,
"December 25, 2005",402,0,0,0,0,0,0,26,"1,278,800 ",,
"January 1, 2006",402,0,0,0,0,0,0,26,"1,278,800 ",,
"January 8, 2006",402,0,0,0,0,0,0,26,"1,278,800 ",,
"January 15, 2006",402,0,0,0,0,0,0,26,"1,278,800 ",,
"January 22, 2006",402,0,0,0,0,0,0,26,"1,278,800 ",,
"January 29, 2006",402,0,0,0,0,0,0,26,"1,278,800 ",,
"February 5, 2006",402,0,0,0,0,0,0,26,"1,278,800 ",,
"February 12, 2006",402,0,0,0,0,0,0,26,"1,278,800 ",,
"February 19, 2006",402,0,0,0,0,0,0,26,"1,278,800 ",,
"February 26, 2006",402,0,0,0,0,6,"492,000",32,"1,770,800 ",,
"March 5, 2006",402,0,0,0,0,0,0,32,"1,770,800 ",,
"March 12, 2006",402,0,0,0,0,4,"300,000",36,"2,070,800 ",,
"March 19, 2006",402,0,0,0,0,0,0,36,"2,070,800 ",,
"March 26, 2006",402,0,0,0,0,2,"164,000",38,"2,234,800 ",,
"April 2, 2006",402,0,0,0,0,0,0,38,"2,234,800 ",,
"April 9, 2006",402,0,0,0,0,0,0,38,"2,234,800 ",,
"April 16, 2006",402,0,0,0,0,0,0,38,"2,234,800 ",,
"April 23, 2006",402,0,0,0,0,0,0,38,"2,234,800 ",,
"April 30, 2006",402,0,0,0,0,0,0,38,"2,234,800 ",,
"May 7, 2006",402,0,0,0,0,1,"75,000",39,"2,309,800 ",,
"May 14, 2006",402,0,0,0,0,0,0,39,"2,309,800 ",,
"May 21, 2006",402,0,0,0,0,2,"166,000",41,"2,475,800 ",,
"May 28, 2006",402,0,0,0,0,0,0,41,"2,475,800 ",,
"June 4, 2006",402,0,0,0,0,2,"156,000",43,"2,631,800 ",,
"June 11, 2006",402,0,0,0,0,1,0,44,"2,631,800 ",,
"June 18, 2006",402,0,0,0,0,0,0,44,"2,631,800 ",,
"June 25, 2006",402,0,0,0,0,0,0,44,"2,631,800 ",,
"July 2, 2006",402,0,0,0,0,0,0,44,"2,631,800 ",,
"July 9, 2006",402,0,0,0,0,0,0,44,"2,631,800 ",,
"July 16, 2006",402,0,0,0,0,1,"83,000",45,"2,714,800 ",,
"July 23, 2006",402,0,0,0,0,0,0,45,"2,714,800 ",,
"July 30, 2006",402,0,0,0,0,1,"84,000",46,"2,798,800 ",,
"August 6, 2006",402,0,0,0,0,0,0,46,"2,798,800 ",,
"August 13, 2006",402,0,0,0,0,0,0,46,"2,798,800 ",,
"August 20, 2006",402,0,0,0,0,0,0,46,"2,798,800 ",,
"August 27, 2006",402,0,0,0,0,0,0,46,"2,798,800 ",,
"September 3, 2006",402,0,0,0,0,2,0,48,"2,798,800 ",,
"September 10, 2006",402,0,0,0,0,0,0,48,"2,798,800 ",,
"September 17, 2006",402,0,0,0,0,0,0,48,"2,798,800 ",,
"September 24, 2006",402,0,0,0,0,0,0,48,"2,798,800 ",,
"October 1, 2006",402,0,0,0,0,0,0,48,"2,798,800 ",,
"October 8, 2006",402,0,0,0,0,0,0,48,"2,798,800 ",,
"October 15, 2006",402,0,0,0,0,0,0,48,"2,798,800 ",,
"October 22, 2006",402,0,0,0,0,4,"329,000",52,"3,127,800 ",,
"October 29, 2006",402,0,0,0,0,2,0,54,"3,127,800 ",,
"November 5, 2006",402,0,0,0,0,0,0,54,"3,127,800 ",,
"November 12, 2006",402,0,0,0,0,0,0,54,"3,127,800 ",,
"November 19, 2006",402,0,0,0,0,0,0,54,"3,127,800 ",,
"November 26, 2006",402,0,0,0,0,0,0,54,"3,127,800 ",,
"December 3, 2006",402,0,0,0,0,0,0,54,"3,127,800 ",,
"December 10, 2006",402,0,0,0,0,0,0,54,"3,127,800 ",,
"December 17, 2006",402,0,0,0,0,0,0,54,"3,127,800 ",,
"December 24, 2006",402,0,0,0,0,0,0,54,"3,127,800 ",,
"December 31, 2006",402,0,0,0,0,0,0,54,"3,127,800 ",,
"January 7, 2007",402,0,0,0,0,0,0,54,"3,127,800 ",,
"January 14, 2007",402,0,0,0,0,0,0,54,"3,127,800 ",,
"January 21, 2007",402,0,0,0,0,0,0,54,"3,127,800 ",,
"January 28, 2007",402,0,0,0,0,0,0,54,"3,127,800 ",,
"February 4, 2007",402,0,0,0,0,0,0,54,"3,127,800 ",,
"February 11, 2007",402,0,0,0,0,0,0,54,"3,127,800 ",,
"February 18, 2007",402,0,0,0,0,0,0,54,"3,127,800 ",,
"February 25, 2007",402,0,0,0,0,0,0,54,"3,127,800 ",,
"March 4, 2007",402,0,0,0,0,0,0,54,"3,127,800 ",,
"March 11, 2007",402,0,0,0,0,0,0,54,"3,127,800 ",,
"March 18, 2007",402,0,0,0,0,0,0,54,"3,127,800 ",,
"March 25, 2007",402,0,0,0,0,0,0,54,"3,127,800 ",,
"April 1, 2007",402,0,0,0,0,0,0,54,"3,127,800 ",,
"April 8, 2007",402,0,0,0,0,0,0,54,"3,127,800 ",,
"April 15, 2007",402,0,0,0,0,0,0,54,"3,127,800 ",,
"April 22, 2007",402,0,0,0,0,0,0,54,"3,127,800 ",,
"April 29, 2007",402,0,0,0,0,0,0,54,"3,127,800 ",,
"May 6, 2007",402,0,0,0,0,0,0,54,"3,127,800 ",,
"May 13, 2007",402,0,0,0,0,0,0,54,"3,127,800 ",,
"May 20, 2007",402,0,0,0,0,0,0,54,"3,127,800 ",,
"May 27, 2007",402,0,0,0,0,0,0,54,"3,127,800 ",,
"June 3, 2007",402,0,0,0,0,0,0,54,"3,127,800 ",,
"June 10, 2007",402,0,0,0,0,0,0,54,"3,127,800 ",,
"June 17, 2007",402,0,0,0,0,0,0,54,"3,127,800 ",,
"June 24, 2007",402,0,0,0,0,0,0,54,"3,127,800 ",,
"July 1, 2007",402,0,0,0,0,0,0,54,"3,127,800 ",,
"July 8, 2007",402,0,0,0,0,0,0,54,"3,127,800 ",,
"July 15, 2007",402,0,0,0,0,0,0,54,"3,127,800 ",,
"July 22, 2007",402,0,0,0,0,0,0,54,"3,127,800 ",,
"July 29, 2007",402,0,0,0,0,0,0,54,"3,127,800 ",,
"August 5, 2007",402,0,0,0,0,0,0,54,"3,127,800 ",,
"August 12, 2007",402,0,0,0,0,0,0,54,"3,127,800 ",,
"August 19, 2007",402,0,0,0,0,0,0,54,"3,127,800 ",,
"August 26, 2007",402,0,0,0,0,0,0,54,"3,127,800 ",,
"September 2, 2007",402,0,0,0,0,0,0,54,"3,127,800 ",,
"September 9, 2007",402,0,0,0,0,0,0,54,"3,127,800 ",,
"September 16, 2007",402,0,0,0,0,0,0,54,"3,127,800 ",,
"September 23, 2007",402,0,0,0,0,0,0,54,"3,127,800 ",,
"September 30, 2007",402,0,0,0,0,0,0,54,"3,127,800 ",,
"October 7, 2007",402,0,0,0,0,0,0,54,"3,127,800 ",,
"October 14, 2007",402,0,0,0,0,0,0,54,"3,127,800 ",,
"October 21, 2007",402,0,0,0,0,0,0,54,"3,127,800 ",,
"October 28, 2007",402,0,0,0,0,1,0,55,"3,127,800 ",,
"November 4, 2007",402,0,0,0,0,0,0,55,"3,127,800 ",,
"November 11, 2007",402,0,0,0,0,0,0,55,"3,127,800 ",,
"November 18, 2007",402,0,0,0,0,0,0,55,"3,127,800 ",,
"November 25, 2007",402,0,0,0,0,0,0,55,"3,127,800 ",,
"December 2, 2007",402,0,0,0,0,0,0,55,"3,127,800 ",,
"December 9, 2007",402,0,0,0,0,0,0,55,"3,127,800 ",,
"December 16, 2007",402,0,0,0,0,0,0,55,"3,127,800 ",,
"December 23, 2007",402,0,0,0,0,0,0,55,"3,127,800 ",,
"December 30, 2007",402,0,0,0,0,0,0,55,"3,127,800 ",,
"January 6, 2008",402,0,0,0,0,1,0,56,"3,127,800 ",,
"January 13, 2008",402,0,0,0,0,0,0,56,"3,127,800 ",,
"January 20, 2008",402,0,0,0,0,0,0,56,"3,127,800 ",,
"January 27, 2008",402,0,0,0,0,0,0,56,"3,127,800 ",,
"February 3, 2008",402,0,0,0,0,0,0,56,"3,127,800 ",,
"February 10, 2008",402,0,0,0,0,0,0,56,"3,127,800 ",,
"February 17, 2008",402,0,0,0,0,0,0,56,"3,127,800 ",,
"February 24, 2008",402,0,0,0,0,0,0,56,"3,127,800 ",,
"March 2, 2008",402,0,0,0,0,0,0,56,"3,127,800 ",,
"March 9, 2008",402,0,0,0,0,0,0,56,"3,127,800 ",,
"March 16, 2008",402,0,0,0,0,0,0,56,"3,127,800 ",,
"March 23, 2008",402,0,0,0,0,0,0,56,"3,127,800 ",,
"March 30, 2008",402,0,0,0,0,0,0,56,"3,127,800 ",,
"April 6, 2008",402,0,0,0,0,0,0,56,"3,127,800 ",,
"April 13, 2008",402,0,0,0,0,0,0,56,"3,127,800 ",,
"April 20, 2008",402,0,0,0,0,0,0,56,"3,127,800 ",,
"April 27, 2008",402,0,0,0,0,0,0,56,"3,127,800 ",,
"May 4, 2008",402,0,0,0,0,0,0,56,"3,127,800 ",,
"May 11, 2008",402,0,0,0,0,0,0,56,"3,127,800 ",,
"May 18, 2008",402,0,0,0,0,0,0,56,"3,127,800 ",,
"May 25, 2008",402,0,0,0,0,0,0,56,"3,127,800 ",,
"June 1, 2008",402,0,0,0,0,0,0,56,"3,127,800 ",,
"June 8, 2008",402,0,0,0,0,0,0,56,"3,127,800 ",,
"June 15, 2008",402,0,0,0,0,0,0,56,"3,127,800 ",,
"June 22, 2008",402,0,0,0,0,0,0,56,"3,127,800 ",,
"June 29, 2008",402,0,0,0,0,0,0,56,"3,127,800 ",,
"July 6, 2008",402,0,0,0,0,0,0,56,"3,127,800 ",,
"July 13, 2008",402,0,0,0,0,0,0,56,"3,127,800 ",,
"July 20, 2008",402,0,0,0,0,0,0,56,"3,127,800 ",,
"July 27, 2008",402,0,0,0,0,0,0,56,"3,127,800 ",,
"August 3, 2008",402,0,0,0,0,0,0,56,"3,127,800 ",,
"August 10, 2008",402,0,0,0,0,0,0,56,"3,127,800 ",,
"August 17, 2008",402,0,0,0,0,0,0,56,"3,127,800 ",,
"August 24, 2008",402,0,0,0,0,2,"163,000",58,"3,290,800 ",,
"August 31, 2008",402,0,0,0,0,0,0,58,"3,290,800 ",,
"September 7, 2008",402,0,0,0,0,0,0,58,"3,290,800 ",,
"September 14, 2008",402,0,0,0,0,0,0,58,"3,290,800 ",,
"September 21, 2008",402,0,0,0,0,0,0,58,"3,290,800 ",,
"September 28, 2008",402,0,0,0,0,0,0,58,"3,290,800 ",,
"October 5, 2008",402,0,0,0,0,0,0,58,"3,290,800 ",,
"October 12, 2008",402,0,0,0,0,0,0,58,"3,290,800 ",,
"October 19, 2008",402,0,0,0,0,0,0,58,"3,290,800 ",,
"October 26, 2008",402,0,0,0,0,0,0,58,"3,290,800 ",,
"November 2, 2008",402,0,0,0,0,0,0,58,"3,290,800 ",,
"November 9, 2008",402,0,0,0,0,0,0,58,"3,290,800 ",,
"November 16, 2008",402,0,0,0,0,0,0,58,"3,290,800 ",,
"November 23, 2008",402,0,0,0,0,0,0,58,"3,290,800 ",,
"November 30, 2008",402,0,0,0,0,0,0,58,"3,290,800 ",,
"December 7, 2008",402,0,0,0,0,0,0,58,"3,290,800 ",,
"December 14, 2008",402,0,0,0,0,0,0,58,"3,290,800 ",,
"December 21, 2008",402,0,0,0,0,0,0,58,"3,290,800 ",,
"December 28, 2008",402,0,0,0,0,0,0,58,"3,290,800 ",,
"January 4, 2009",402,0,0,0,0,0,0,58,"3,290,800 ",,
"January 11, 2009",402,0,0,0,0,0,0,58,"3,290,800 ",,
"January 18, 2009",402,0,0,0,0,0,0,58,"3,290,800 ",,
"January 25, 2009",402,0,0,0,0,0,0,58,"3,290,800 ",,
"February 1, 2009",402,0,0,0,0,0,0,58,"3,290,800 ",,
"February 8, 2009",402,0,0,0,0,0,0,58,"3,290,800 ",,
"February 15, 2009",402,0,0,0,0,0,0,58,"3,290,800 ",,
"February 22, 2009",402,0,0,0,0,0,0,58,"3,290,800 ",,
"March 1, 2009",402,0,0,0,0,0,0,58,"3,290,800 ",,
"March 8, 2009",402,0,0,0,0,0,0,58,"3,290,800 ",,
"March 15, 2009",402,0,0,0,0,0,0,58,"3,290,800 ",,
"March 22, 2009",402,0,0,0,0,0,0,58,"3,290,800 ",,
"March 29, 2009",402,0,0,0,0,0,0,58,"3,290,800 ",,
"April 5, 2009",402,0,0,0,0,0,0,58,"3,290,800 ",,
"April 12, 2009",402,0,0,0,0,0,0,58,"3,290,800 ",,
"April 19, 2009",402,0,0,0,0,0,0,58,"3,290,800 ",,
"April 26, 2009",402,0,0,0,0,0,0,58,"3,290,800 ",,
"May 3, 2009",402,0,0,0,0,0,0,58,"3,290,800 ",,
"May 10, 2009",402,0,0,0,0,0,0,58,"3,290,800 ",,
"May 17, 2009",402,0,0,0,0,0,0,58,"3,290,800 ",,
"May 24, 2009",402,0,0,0,0,0,0,58,"3,290,800 ",,
"May 31, 2009",402,0,0,0,0,0,0,58,"3,290,800 ",,
"June 7, 2009",402,0,0,0,0,0,0,58,"3,290,800 ",,
"June 14, 2009",402,0,0,0,0,0,0,58,"3,290,800 ",,
"June 21, 2009",402,0,0,0,0,0,0,58,"3,290,800 ",,
"June 28, 2009",402,0,0,0,0,0,0,58,"3,290,800 ",,
"July 5, 2009",402,0,0,0,0,0,0,58,"3,290,800 ",,
"July 12, 2009",402,0,0,0,0,0,0,58,"3,290,800 ",,
"July 19, 2009",402,0,0,0,0,0,0,58,"3,290,800 ",,
"July 26, 2009",402,0,0,0,0,0,0,58,"3,290,800 ",,
"August 2, 2009",402,0,0,0,0,0,0,58,"3,290,800 ",,
"August 9, 2009",402,0,0,0,0,0,0,58,"3,290,800 ",,
"August 16, 2009",402,0,0,0,0,0,0,58,"3,290,800 ",,
"August 23, 2009",402,0,0,0,0,0,0,58,"3,290,800 ",,
"August 30, 2009",402,0,0,0,0,0,0,58,"3,290,800 ",,
"September 6, 2009",402,0,0,0,0,0,0,58,"3,290,800 ",,
"September 13, 2009",402,0,0,0,0,0,0,58,"3,290,800 ",,
"September 20, 2009",402,0,0,0,0,0,0,58,"3,290,800 ",,
"September 27, 2009",402,0,0,0,0,0,0,58,"3,290,800 ",,
"October 4, 2009",402,0,0,0,0,0,0,58,"3,290,800 ",,
"October 11, 2009",402,0,0,0,0,0,0,58,"3,290,800 ",,
"October 18, 2009",402,0,0,0,0,0,0,58,"3,290,800 ",,
"October 25, 2009",402,0,0,0,0,0,0,58,"3,290,800 ",,
"November 1, 2009",402,0,0,0,0,0,0,58,"3,290,800 ",,
"November 8, 2009",402,0,0,0,0,0,0,58,"3,290,800 ",,
"November 15, 2009",402,0,0,0,0,0,0,58,"3,290,800 ",,
"November 22, 2009",402,0,0,0,0,0,0,58,"3,290,800 ",,
"November 29, 2009",402,0,0,0,0,0,0,58,"3,290,800 ",,
"December 6, 2009",402,0,0,0,0,0,0,58,"3,290,800 ",,
"December 13, 2009",402,0,0,0,0,0,0,58,"3,290,800 ",,
"December 20, 2009",402,0,0,0,0,0,0,58,"3,290,800 ",,
"December 27, 2009",402,0,0,0,0,0,0,58,"3,290,800 ",,
"January 3, 2010",402,0,0,0,0,0,0,58,"3,290,800 ",,
"January 10, 2010",402,0,0,0,0,0,0,58,"3,290,800 ",,
"January 17, 2010",402,0,0,0,0,0,0,58,"3,290,800 ",,
"January 24, 2010",402,0,0,0,0,0,0,58,"3,290,800 ",,
"January 31, 2010",402,0,0,0,0,0,0,58,"3,290,800 ",,
"February 7, 2010",402,0,0,0,0,0,0,58,"3,290,800 ",,
"February 14, 2010",402,0,0,0,0,0,0,58,"3,290,800 ",,
"February 21, 2010",402,0,0,0,0,0,0,58,"3,290,800 ",,
"February 28, 2010",402,0,0,0,0,0,0,58,"3,290,800 ",,
"March 7, 2010",402,0,0,0,0,0,0,58,"3,290,800 ",,
"March 14, 2010",402,0,0,0,0,0,0,58,"3,290,800 ",,
"March 21, 2010",402,0,0,0,0,0,0,58,"3,290,800 ",,
"March 28, 2010",402,0,0,0,0,0,0,58,"3,290,800 ",,
"April 4, 2010",402,0,0,0,0,0,0,58,"3,290,800 ",,
"April 11, 2010",402,0,0,0,0,0,0,58,"3,290,800 ",,
"April 18, 2010",402,0,0,0,0,0,0,58,"3,290,800 ",,
"April 25, 2010",402,0,0,0,0,0,0,58,"3,290,800 ",,
"May 2, 2010",402,0,0,0,0,0,0,58,"3,290,800 ",,
"May 9, 2010",402,0,0,0,0,0,0,58,"3,290,800 ",,
"May 16, 2010",402,0,0,0,0,0,0,58,"3,290,800 ",,
"May 23, 2010",402,0,0,0,0,0,0,58,"3,290,800 ",,
"May 30, 2010",402,0,0,0,0,0,0,58,"3,290,800 ",,
"June 6, 2010",402,0,0,0,0,0,0,58,"3,290,800 ",,
"June 13, 2010",402,0,0,0,0,0,0,58,"3,290,800 ",,
"June 20, 2010",402,0,0,0,0,0,0,58,"3,290,800 ",,
"June 27, 2010",402,0,0,0,0,0,0,58,"3,290,800 ",,
"July 4, 2010",402,0,0,0,0,0,0,58,"3,290,800 ",,
"July 11, 2010",402,0,0,0,0,0,0,58,"3,290,800 ",,
"July 18, 2010",402,0,0,0,0,0,0,58,"3,290,800 ",,
"July 25, 2010",402,0,0,0,0,0,0,58,"3,290,800 ",,
"August 1, 2010",402,0,0,0,0,0,0,58,"3,290,800 ",,
"August 8, 2010",402,0,0,0,0,0,0,58,"3,290,800 ",,
"August 15, 2010",402,0,0,0,0,0,0,58,"3,290,800 ",,
"August 22, 2010",402,0,0,0,0,0,0,58,"3,290,800 ",,
"August 29, 2010",402,0,0,0,0,0,0,58,"3,290,800 ",,
"September 5, 2010",402,0,0,0,0,0,0,58,"3,290,800 ",,
"September 12, 2010",402,0,0,0,0,0,0,58,"3,290,800 ",,
"September 19, 2010",402,0,0,0,0,0,0,58,"3,290,800 ",,
"September 26, 2010",402,0,0,0,0,0,0,58,"3,290,800 ",,
"October 3, 2010",402,0,0,0,0,0,0,58,"3,290,800 ",,
"October 10, 2010",402,0,0,0,0,0,0,58,"3,290,800 ",,
"October 17, 2010",402,0,0,0,0,0,0,58,"3,290,800 ",,
"October 24, 2010",402,0,0,0,0,0,0,58,"3,290,800 ",,
"October 31, 2010",402,0,0,0,0,0,0,58,"3,290,800 ",,
"November 7, 2010",402,0,0,0,0,0,0,58,"3,290,800 ",,
"November 14, 2010",402,0,0,0,0,0,0,58,"3,290,800 ",,
"November 21, 2010",402,0,0,0,0,0,0,58,"3,290,800 ",,
"November 28, 2010",402,0,0,0,0,0,0,58,"3,290,800 ",,
"December 5, 2010",402,0,0,0,0,0,0,58,"3,290,800 ",,
"December 12, 2010",402,0,0,0,0,0,0,58,"3,290,800 ",,
"December 19, 2010",402,0,0,0,0,0,0,58,"3,290,800 ",,
"December 26, 2010",402,0,0,0,0,0,0,58,"3,290,800 ",,
"January 2, 2011",402,0,0,0,0,0,0,58,"3,290,800 ",,
"January 9, 2011",402,0,0,0,0,0,0,58,"3,290,800 ",,
"January 16, 2011",402,0,0,0,0,0,0,58,"3,290,800 ",,
"January 23, 2011",402,0,0,0,0,0,0,58,"3,290,800 ",,
"January 30, 2011",402,0,0,0,0,0,0,58,"3,290,800 ",,
"February 6, 2011",402,0,0,0,0,0,0,58,"3,290,800 ",,
"February 13, 2011",402,0,0,0,0,0,0,58,"3,290,800 ",,
"February 20, 2011",402,0,0,0,0,0,0,58,"3,290,800 ",,
"February 27, 2011",402,0,0,0,0,0,0,58,"3,290,800 ",,
"March 6, 2011",402,0,0,0,0,0,0,58,"3,290,800 ",,
"March 13, 2011",402,0,0,0,0,0,0,58,"3,290,800 ",,
"March 20, 2011",402,0,0,0,0,1,"82,000",59,"3,372,800 ",,
"March 27, 2011",402,0,0,0,0,0,0,59,"3,372,800 ",,
"April 3, 2011",402,0,0,0,0,0,0,59,"3,372,800 ",,
"April 10, 2011",402,0,0,0,0,0,0,59,"3,372,800 ",,
"April 17, 2011",402,0,0,0,0,0,0,59,"3,372,800 ",,
"April 24, 2011",402,0,0,0,0,0,0,59,"3,372,800 ",,
"May 1, 2011",402,0,0,0,0,2,"164,000",61,"3,536,800 ",,
"May 8, 2011",402,0,0,0,0,0,0,61,"3,536,800 ",,
"May 15, 2011",402,0,0,0,0,0,0,61,"3,536,800 ",,
"May 22, 2011",402,0,0,0,0,0,0,61,"3,536,800 ",,
"May 29, 2011",402,0,0,0,0,0,0,61,"3,536,800 ",,
"June 5, 2011",402,0,0,0,0,0,0,61,"3,536,800 ",,
"June 12, 2011",402,0,0,0,0,0,0,61,"3,536,800 ",,
"June 19, 2011",402,0,0,0,0,1,0,62,"3,536,800 ",,
"June 26, 2011",402,0,0,0,0,0,0,62,"3,536,800 ",,
"July 3, 2011",402,0,0,0,0,0,0,62,"3,536,800 ",,
