Sector:,Liquified Propane Gas (LPG),,,,
8/5/09,"$6,833",$0,$0,$0,
8/12/09,"$6,833",$0,$0,$0,
8/19/09,"$6,833",$0,$0,$0,
8/26/09,"$6,833",$0,$0,$0,
9/2/09,"$8,000",$0,$0,$0,
9/9/09,"$8,667",$0,$0,$0,
9/16/09,"$8,667",$0,$0,$0,
9/23/09,"$12,000",$0,$0,$0,
9/30/09,"$12,000",$0,$0,$0,
10/7/09,"$12,000",$0,$0,$0,
10/14/09,"$10,000",$0,$0,$0,
10/21/09,"$10,000",$0,$0,$0,
10/28/09,"$10,000",$0,$0,$0,
11/4/09,"$10,000",$0,$0,$0,
11/11/09,"$5,333",$0,$0,$0,
11/18/09,"$5,333",$0,$0,$0,
11/25/09,"$6,000",$0,$0,$0,
12/2/09,"$10,167",$0,$0,$0,
12/9/09,"$10,167",$0,$0,$0,
12/16/09,"$10,167",$0,$0,$0,
12/23/09,"$10,167",$0,$0,$0,
12/30/09,$0,$0,$0,$0,
1/6/10,"$10,167",$0,$0,$0,
1/13/10,"$10,167",$0,$0,$0,
1/20/10,"$8,500",$0,$0,$0,
1/27/10,"$8,833",$0,$0,$0,
2/3/10,"$7,500",$0,$0,$0,
2/10/10,"$7,500",$0,$0,$0,
2/17/10,"$7,500",$0,$0,$0,
2/24/10,"$7,500",$0,$0,$0,
3/3/10,"$6,500",$0,$0,$0,
3/10/10,"$6,500",$0,$0,$0,
3/17/10,"$10,667",$0,$0,$0,
3/24/10,"$10,333",$0,$0,$0,
3/31/10,$0,$0,$0,$0,
4/7/10,"$11,667",$0,$0,$0,
4/14/10,"$11,667",$0,$0,$0,
4/21/10,"$12,833",$0,$0,$0,
4/28/10,"$14,000",$0,$0,$0,
5/5/10,"$16,000",$0,$0,$0,
5/12/10,"$17,667",$0,$0,$0,
5/19/10,"$16,167",$0,$0,$0,
5/26/10,"$20,000",$0,$0,$0,
6/2/10,"$20,000",$0,$0,$0,
6/9/10,"$30,000",$0,$0,$0,
6/16/10,"$30,000",$0,$0,$0,
6/23/10,"$30,000",$0,$0,$0,
6/30/10,"$29,667",$0,$0,$0,
7/7/10,"$25,833",$0,$0,$0,
7/14/10,"$21,667",$0,$0,$0,
7/21/10,"$20,333",$0,$0,$0,
7/28/10,"$18,000",$0,$0,$0,
8/4/10,"$18,000",$0,$0,$0,
8/11/10,"$14,667",$0,$0,$0,
8/18/10,"$14,667",$0,$0,$0,
8/25/10,"$16,000",$0,$0,$0,
9/1/10,"$16,000",$0,$0,$0,
9/8/10,"$16,667",$0,$0,$0,
9/15/10,"$15,000",$0,$0,$0,
9/22/10,"$16,000",$0,$0,$0,
9/29/10,"$16,000",$0,$0,$0,
10/6/10,"$16,000",$0,$0,$0,
10/13/10,"$18,167",$0,$0,$0,
10/20/10,"$20,667",$0,$0,$0,
10/27/10,"$20,833",$0,$0,$0,
11/3/10,"$20,833",$0,$0,$0,
11/10/10,"$22,000",$0,$0,$0,
11/17/10,"$30,000",$0,$0,$0,
11/24/10,"$32,000",$0,$0,$0,
12/1/10,"$32,000",$0,$0,$0,
12/8/10,"$27,000",$0,$0,$0,
12/15/10,"$21,000",$0,$0,$0,
12/22/10,"$19,167",$0,$0,$0,
12/29/10,"$18,000",$0,$0,$0,
1/5/11,"$17,000",$0,$0,$0,
1/12/11,"$15,667",$0,$0,$0,
1/19/11,"$17,333",$0,$0,$0,
1/26/11,"$19,333",$0,$0,$0,
2/2/11,"$15,000",$0,$0,$0,
2/9/11,"$11,667",$0,$0,$0,
2/16/11,"$11,667",$0,$0,$0,
2/23/11,"$15,000",$0,$0,$0,
3/2/11,"$18,333",$0,$0,$0,
3/9/11,"$18,833",$0,$0,$0,
3/16/11,"$22,333",$0,$0,$0,
3/23/11,"$27,000",$0,$0,$0,
3/30/11,"$27,000",$0,$0,$0,
4/6/11,"$20,667",$0,$0,$0,
4/13/11,"$21,000",$0,$0,$0,
4/20/11,$0,$0,$0,$0,
4/27/11,"$29,500",$0,$0,$0,
5/4/11,"$23,333",$0,$0,$0,
5/11/11,"$17,667",$0,$0,$0,
5/18/11,"$14,000",$0,$0,$0,
5/25/11,"$13,667",$0,$0,$0,
6/1/11,"$11,167",$0,$0,$0,
6/8/11,"$11,167",$0,$0,$0,
6/15/11,"$11,167",$0,$0,$0,
6/22/11,"$12,667",$0,$0,$0,
6/29/11,"$16,000",$0,$0,$0,
7/6/11,"$18,333",$0,$0,$0,
7/13/11,"$23,667",$0,$0,$0,
7/20/11,"$24,000",$0,$0,$0,
7/27/11,"$35,333",$0,$0,$0,
8/3/11,"$35,667",$0,$0,$0,
8/10/11,"$35,667",$0,$0,$0,
8/17/11,"$40,000",$0,$0,$0,
8/24/11,"$40,000",$0,$0,$0,
8/31/11,"$38,000",$0,$0,$0,
9/7/11,"$39,667",$0,$0,$0,
9/14/11,"$43,333",$0,$0,$0,
9/21/11,"$44,000",$0,$0,$0,
9/28/11,"$44,667",$0,$0,$0,
10/5/11,"$48,000",$0,$0,$0,
10/12/11,"$53,000",$0,$0,$0,
10/19/11,"$53,333",$0,$0,$0,
10/26/11,"$50,333",$0,$0,$0,
11/2/11,"$50,000",$0,$0,$0,
11/9/11,"$44,000",$0,$0,$0,
11/16/11,"$44,000",$0,$0,$0,
11/23/11,"$41,667",$0,$0,$0,
11/30/11,"$38,333",$0,$0,$0,
12/7/11,"$32,667",$0,$0,$0,
12/14/11,"$32,667",$0,$0,$0,
12/21/11,"$15,000",$0,$0,$0,
12/28/11,$0,$0,$0,$0,
1/4/12,"$10,833",$0,$0,$0,
1/11/12,"$6,167",$0,$0,$0,
1/18/12,"$8,000",$0,$0,$0,
1/25/12,"$8,000",$0,$0,$0,
2/1/12,"$11,000",$0,$0,$0,
2/8/12,"$11,000",$0,$0,$0,
2/15/12,"$13,000",$0,$0,$0,
2/22/12,"$13,167",$0,$0,$0,
2/29/12,$0,$0,$0,$0,
3/7/12,"$13,167",$0,$0,$0,
3/14/12,"$12,833",$0,$0,$0,
3/21/12,"$11,000",$0,$0,$0,
3/28/12,"$11,000",$0,$0,$0,
4/4/12,$0,$0,$0,$0,
4/11/12,"$10,667",$0,$0,$0,
4/18/12,"$11,000",$0,$0,$0,
4/25/12,"$26,000",$0,$0,$0,
5/2/12,"$32,000",$0,$0,$0,
5/9/12,"$38,667",$0,$0,$0,
5/16/12,$0,$0,$0,$0,
5/23/12,"$44,000",$0,$0,$0,
5/30/12,"$42,500",$0,$0,$0,
6/6/12,"$45,833",$0,$0,$0,
6/13/12,"$46,667",$0,$0,$0,
6/20/12,"$47,667",$0,$0,$0,
6/27/12,"$48,333",$0,$0,$0,
7/4/12,"$45,000",$0,$0,$0,
7/11/12,"$48,333",$0,$0,$0,
7/18/12,"$48,833",$0,$0,$0,
7/25/12,"$48,167",$0,$0,$0,
8/1/12,"$45,667",$0,$0,$0,
8/8/12,"$48,833",$0,$0,$0,
8/15/12,"$51,667",$0,$0,$0,
8/22/12,"$51,167",$0,$0,$0,
8/29/12,"$49,833",$0,$0,$0,
9/5/12,"$41,000",$0,$0,$0,
9/12/12,"$38,000",$0,$0,$0,
9/19/12,"$38,000",$0,$0,$0,
9/26/12,"$34,833",$0,$0,$0,
10/3/12,"$32,440",$0,$0,$0,
10/10/12,"$32,440",$0,$0,$0,
10/17/12,"$20,167",$0,$0,$0,
10/24/12,"$12,862",$0,$0,$0,
10/31/12,"$8,500",$0,$0,$0,
11/7/12,"$16,667",$0,$0,$0,
11/14/12,"$18,333",$0,$0,$0,
11/21/12,"$18,333",$0,$0,$0,
11/28/12,"$16,167",$0,$0,$0,
12/5/12,"$10,000",$0,$0,$0,
12/12/12,"$10,000",$0,$0,$0,
12/19/12,"$14,433",$0,$0,$0,
12/26/12,$0,$0,$0,$0,missing in source
1/2/13,"$13,000",$0,$0,$0,
1/9/13,"$10,000",$0,$0,$0,
1/16/13,"$10,000",$0,$0,$0,
1/23/13,"$9,333",$0,$0,$0,
1/30/13,"$9,667",$0,$0,$0,
2/6/13,"$10,000",$0,$0,$0,
2/13/13,"$9,667",$0,$0,$0,
2/20/13,"$15,167",$0,$0,$0,
2/27/13,"$15,167",$0,$0,$0,
3/6/13,"$15,833",$0,$0,$0,
3/13/13,"$15,000",$0,$0,$0,
3/20/13,"$12,500",$0,$0,$0,
3/27/13,$0,$0,$0,$0,
4/3/13,"$10,167",$0,$0,$0,
4/10/13,"$12,833",$0,$0,$0,
4/17/13,"$13,000",$0,$0,$0,
4/24/13,"$17,333",$0,$0,$0,
5/1/13,$0,$0,$0,$0,
5/8/13,"$38,667",$0,$0,$0,
5/15/13,"$34,000",$0,$0,$0,
5/22/13,"$41,667",$0,$0,$0,
5/29/13,"$41,667",$0,$0,$0,
6/5/13,"$44,000",$0,$0,$0,
6/12/13,"$47,667",$0,$0,$0,
6/19/13,"$56,833",$0,$0,$0,
6/26/13,"$57,667",$0,$0,$0,
7/3/13,"$55,833",$0,$0,$0,
7/10/13,"$50,000",$0,$0,$0,
7/17/13,"$43,333",$0,$0,$0,
7/24/13,"$48,000",$0,$0,$0,
7/31/13,"$52,667",$0,$0,$0,
8/7/13,"$55,000",$0,$0,$0,
8/14/13,"$53,667",$0,$0,$0,
8/21/13,"$55,000",$0,$0,$0,
8/28/13,"$56,333",$0,$0,$0,
9/4/13,"$52,500",$0,$0,$0,
9/11/13,"$51,167",$0,$0,$0,
9/18/13,"$48,167",$0,$0,$0,
9/25/13,"$43,333",$0,$0,$0,
10/2/13,"$38,333",$0,$0,$0,
10/9/13,"$40,833",$0,$0,$0,
10/16/13,"$39,833",$0,$0,$0,
10/23/13,"$38,333",$0,$0,$0,
10/30/13,"$36,667",$0,$0,$0,
11/6/13,"$35,000",$0,$0,$0,
11/13/13,"$37,667",$0,$0,$0,
11/20/13,"$37,333",$0,$0,$0,
11/27/13,"$39,000",$0,$0,$0,
12/4/13,"$35,667",$0,$0,$0,
12/11/13,"$27,000",$0,$0,$0,
12/18/13,"$21,400",$0,$0,$0,
12/25/13,"$21,400",$0,$0,$0,
1/1/14,"$33,467",$0,$0,$0,
1/8/14,"$34,500",$0,$0,$0,
1/15/14,"$38,000",$0,$0,$0,
1/22/14,"$36,833",$0,$0,$0,
1/29/14,"$28,333",$0,$0,$0,
2/5/14,"$25,333",$0,$0,$0,
2/12/14,"$24,500",$0,$0,$0,
2/19/14,"$53,000",$0,$0,$0,
2/26/14,"$17,500",$0,$0,$0,
3/5/14,"$19,667",$0,$0,$0,
3/12/14,"$27,167",$0,$0,$0,
3/19/14,"$53,000",$0,$0,$0,
3/26/14,"$60,000",$0,$0,$0,
4/2/14,"$76,667",$0,$0,$0,
4/9/14,"$90,667",$0,$0,$0,
4/16/14,"$100,000",$0,$0,$0,
4/23/14,"$103,333",$0,$0,$0,
4/30/14,"$93,333",$0,$0,$0,
5/7/14,"$76,667",$0,$0,$0,
5/14/14,"$61,667",$0,$0,$0,
5/21/14,"$54,667",$0,$0,$0,
5/28/14,"$58,333",$0,$0,$0,
6/4/14,"$83,333",$0,$0,$0,
6/11/14,"$83,333",$0,$0,$0,
6/18/14,"$96,667",$0,$0,$0,
6/25/14,"$104,167",$0,$0,$0,
7/2/14,"$104,167",$0,$0,$0,
7/9/14,"$104,167",$0,$0,$0,
7/16/14,"$108,333",$0,$0,$0,
7/23/14,"$108,333",$0,$0,$0,
7/30/14,"$103,333",$0,$0,$0,
8/6/14,"$95,000",$0,$0,$0,
8/13/14,"$86,667",$0,$0,$0,
8/20/14,"$81,000",$0,$0,$0,
8/27/14,"$80,333",$0,$0,$0,
9/3/14,"$78,333",$0,$0,$0,
9/10/14,"$85,333",$0,$0,$0,
9/17/14,"$86,667",$0,$0,$0,
9/24/14,"$84,333",$0,$0,$0,
10/1/14,"$80,000",$0,$0,$0,
10/8/14,"$70,000",$0,$0,$0,
10/15/14,"$79,333",$0,$0,$0,
10/22/14,"$83,333",$0,$0,$0,
10/29/14,"$66,667",$0,$0,$0,
11/5/14,"$73,333",$0,$0,$0,
11/12/14,"$73,333",$0,$0,$0,
11/19/14,"$68,333",$0,$0,$0,
11/26/14,"$65,667",$0,$0,$0,
12/3/14,"$59,833",$0,$0,$0,
12/10/14,"$59,167",$0,$0,$0,
12/17/14,"$55,767",$0,$0,$0,
12/24/14,$0,$0,$0,$0,missing in source
12/31/14,$0,$0,$0,$0,missing in source
1/7/15,"$47,667",$0,$0,$0,
1/14/15,"$47,667",$0,$0,$0,
1/21/15,$0,$0,$0,$0,missing in source
1/28/15,$0,$0,$0,$0,missing in source
2/4/15,"$76,167",$0,$0,$0,
2/11/15,"$81,000",$0,$0,$0,
2/18/15,"$89,333",$0,$0,$0,
2/25/15,"$89,667",$0,$0,$0,
3/4/15,"$85,333",$0,$0,$0,
3/11/15,"$90,000",$0,$0,$0,
3/18/15,"$92,000",$0,$0,$0,
3/25/15,"$80,833",$0,$0,$0,
4/1/15,$0,$0,$0,$0,missing in source
4/8/15,"$65,000",$0,$0,$0,
4/15/15,"$68,333",$0,$0,$0,
4/22/15,"$79,500",$0,$0,$0,
4/29/15,"$80,666",$0,$0,$0,
5/6/15,"$80,666",$0,$0,$0,
5/13/15,"$87,666",$0,$0,$0,
5/20/15,"$98,166",$0,$0,$0,
5/27/15,"$98,166",$0,$0,$0,
6/3/15,"$91,666",$0,$0,$0,
6/10/15,"$96,666",$0,$0,$0,
6/17/15,"$106,500",$0,$0,$0,
6/24/15,"$107,500",$0,$0,$0,
7/1/15,"$112,666",$0,$0,$0,
7/8/15,$0,$0,$0,$0,
7/15/15,$0,$0,$0,$0,
7/22/15,$0,$0,$0,$0,
7/29/15,$0,$0,$0,$0,
8/5/15,$0,$0,$0,$0,
8/12/15,$0,$0,$0,$0,
8/19/15,$0,$0,$0,$0,
8/26/15,$0,$0,$0,$0,
9/2/15,$0,$0,$0,$0,
9/9/15,$0,$0,$0,$0,
9/16/15,$0,$0,$0,$0,
9/23/15,$0,$0,$0,$0,
9/30/15,$0,$0,$0,$0,
10/7/15,$0,$0,$0,$0,
10/14/15,$0,$0,$0,$0,
10/21/15,$0,$0,$0,$0,
10/28/15,$0,$0,$0,$0,
11/4/15,$0,$0,$0,$0,
11/11/15,$0,$0,$0,$0,
11/18/15,$0,$0,$0,$0,
11/25/15,$0,$0,$0,$0,
12/2/15,$0,$0,$0,$0,
12/9/15,$0,$0,$0,$0,
12/16/15,$0,$0,$0,$0,
12/23/15,$0,$0,$0,$0,
12/30/15,$0,$0,$0,$0,
