Date,Spot Market ($/day)
7/7/10,"$19,167"
7/14/10,"$19,167"
7/21/10,
7/28/10,"$19,167"
8/4/10,"$19,167"
8/11/10,"$19,167"
8/18/10,"$19,167"
8/25/10,"$20,500"
9/1/10,"$20,500"
9/8/10,"$21,667"
9/15/10,"$22,500"
9/22/10,"$22,333"
9/29/10,"$22,333"
10/6/10,"$22,333"
10/13/10,"$19,000"
10/20/10,"$19,000"
10/27/10,"$19,000"
11/3/10,"$19,333"
11/10/10,"$19,333"
11/17/10,"$19,333"
11/24/10,"$19,500"
12/1/10,"$19,500"
12/8/10,"$19,667"
12/15/10,"$19,667"
12/22/10,"$20,000"
12/29/10,"$20,000"
1/5/11,"$20,000"
1/12/11,"$20,000"
1/19/11,"$20,000"
1/26/11,"$20,000"
2/2/11,"$19,167"
2/9/11,"$20,667"
2/16/11,"$20,667"
2/23/11,"$20,667"
3/2/11,"$20,667"
3/9/11,"$21,000"
3/16/11,"$21,000"
3/23/11,"$21,000"
3/30/11,"$21,000"
4/6/11,"$21,000"
4/13/11,"$21,000"
4/20/11,
4/27/11,"$21,000"
5/4/11,"$21,000"
5/11/11,"$21,000"
5/18/11,"$21,333"
5/25/11,"$21,333"
6/1/11,"$21,333"
6/8/11,"$21,333"
6/15/11,"$21,667"
6/22/11,"$21,667"
6/29/11,"$21,667"
7/6/11,"$21,667"
7/13/11,"$21,667"
7/20/11,"$21,667"
7/27/11,"$23,333"
8/3/11,"$22,000"
8/10/11,"$22,000"
8/17/11,"$22,000"
8/24/11,"$22,000"
8/31/11,"$22,000"
9/7/11,"$22,000"
9/14/11,"$22,000"
9/21/11,"$22,000"
9/28/11,"$23,333"
10/5/11,"$26,667"
10/12/11,"$26,667"
10/19/11,"$26,667"
10/26/11,"$26,667"
11/2/11,"$26,667"
11/9/11,"$26,667"
11/16/11,"$26,667"
11/23/11,"$26,667"
11/30/11,"$26,667"
12/7/11,"$26,667"
12/14/11,"$26,667"
12/21/11,"$26,667"
12/28/11,
1/4/12,"$25,000"
1/11/12,"$25,000"
1/18/12,"$25,000"
1/25/12,"$25,000"
2/1/12,"$25,000"
2/8/12,"$26,667"
2/15/12,"$27,500"
2/22/12,"$27,500"
2/29/12,
3/7/12,"$29,167"
3/14/12,"$29,167"
3/21/12,"$29,167"
3/28/12,"$29,167"
4/4/12,"$29,167"
4/11/12,"$29,167"
4/18/12,"$29,167"
4/25/12,"$29,167"
5/2/12,"$29,167"
5/9/12,"$29,167"
5/16/12,
5/23/12,"$28,333"
5/30/12,"$28,333"
6/6/12,"$28,333"
6/13/12,"$28,333"
6/20/12,"$28,333"
6/27/12,"$28,333"
7/4/12,"$28,333"
7/11/12,"$28,333"
7/18/12,"$28,333"
7/25/12,"$28,333"
8/1/12,"$27,500"
8/8/12,"$26,667"
8/15/12,"$26,667"
8/22/12,"$26,667"
8/29/12,"$25,833"
9/5/12,"$25,833"
9/12/12,"$25,833"
9/19/12,"$25,000"
9/26/12,"$25,000"
10/3/12,"$25,000"
10/10/12,"$25,000"
10/17/12,"$26,667"
10/24/12,"$27,500"
10/31/12,"$28,333"
11/7/12,"$28,333"
11/14/12,"$28,333"
11/21/12,"$28,333"
11/28/12,"$28,333"
12/5/12,"$28,333"
12/12/12,"$28,667"
12/19/12,"$28,333"
12/26/12,"$28,333"
1/2/13,"$28,333"
1/9/13,"$28,333"
1/16/13,"$28,333"
1/23/13,"$28,333"
1/30/13,"$28,333"
2/6/13,"$28,333"
2/13/13,"$28,333"
2/20/13,"$28,333"
2/27/13,"$28,333"
3/6/13,"$28,333"
3/13/13,"$27,500"
3/20/13,"$27,500"
3/27/13,
4/3/13,"$27,500"
4/10/13,"$26,667"
4/17/13,"$26,667"
4/24/13,"$25,000"
5/1/13,
5/8/13,"$24,167"
5/15/13,"$24,167"
5/22/13,"$24,167"
5/29/13,"$24,167"
6/5/13,"$25,000"
6/12/13,"$25,000"
6/19/13,"$25,833"
6/26/13,"$26,667"
7/3/13,"$27,500"
7/10/13,"$27,500"
7/17/13,"$27,500"
7/24/13,"$27,500"
7/31/13,"$27,500"
8/7/13,"$27,500"
8/14/13,"$27,500"
8/21/13,"$27,500"
8/28/13,"$26,667"
9/4/13,"$28,333"
9/11/13,"$28,333"
9/18/13,"$28,333"
9/25/13,"$28,333"
10/2/13,"$28,333"
10/9/13,"$28,333"
10/16/13,"$28,333"
10/23/13,"$28,333"
10/30/13,"$28,333"
11/6/13,"$28,333"
11/13/13,"$28,333"
11/20/13,"$28,333"
11/27/13,"$28,333"
12/4/13,"$28,333"
12/11/13,"$28,333"
12/18/13,"$28,333"
12/25/13,"$28,333"
1/1/14,"$28,333"
1/8/14,"$28,333"
1/15/14,"$28,333"
1/22/14,"$28,333"
1/29/14,"$28,333"
2/5/14,"$28,333"
2/12/14,"$28,333"
2/19/14,"$28,333"
2/26/14,"$28,333"
3/5/14,"$28,333"
3/12/14,"$28,333"
3/19/14,"$28,333"
3/26/14,"$29,167"
4/2/14,"$29,167"
4/9/14,"$29,167"
4/16/14,"$30,000"
4/23/14,"$30,000"
4/30/14,"$30,000"
5/7/14,"$30,000"
5/14/14,"$30,000"
5/21/14,"$30,000"
5/28/14,"$30,000"
6/4/14,"$30,000"
6/11/14,"$30,000"
6/18/14,"$30,000"
6/25/14,"$30,000"
7/2/14,"$30,000"
7/9/14,"$31,667"
7/16/14,"$31,667"
7/23/14,"$32,500"
7/30/14,"$33,333"
8/6/14,"$33,167"
8/13/14,"$33,167"
8/20/14,"$33,167"
8/27/14,"$33,333"
9/3/14,"$33,333"
9/10/14,"$33,333"
9/17/14,"$35,000"
9/24/14,"$35,833"
10/1/14,"$35,833"
10/8/14,"$35,833"
10/15/14,"$35,833"
10/22/14,"$35,833"
10/29/14,"$35,833"
11/5/14,"$35,833"
11/12/14,"$35,833"
11/19/14,"$35,833"
11/26/14,"$35,833"
12/3/14,"$35,833"
12/10/14,"$35,833"
12/17/14,"$35,833"
12/24/14,
12/31/14,
1/7/15,"$34,167"
1/14/15,"$34,167"
1/21/15,
1/28/15,
2/4/15,"$33,333"
2/11/15,"$33,333"
2/18/15,"$33,333"
2/25/15,"$35,000"
3/4/15,"$35,000"
3/11/15,"$35,000"
3/18/15,"$35,000"
3/25/15,"$35,000"
4/1/15,
4/8/15,"$35,000"
4/15/15,"$35,833"
4/22/15,"$35,833"
4/29/15,
5/6/15,"$35,833"
5/13/15,"$35,833"
5/20/15,"$28,333"
5/27/15,
6/3/15,
6/10/15,
